,lKey,cKey,StartDate,StartTime,tMidnightSecs,tStartSecs,tStopSecs,tStart,tStop,Duration,Msn,AcId,AcType,PC,WC,Bcn,OT,Airline,CT,Orig,EstOrig,TOFRwy,Dest,EstDest,LNDRwy,ATAThdArr,tON,FacName,equipList,pKey
156,34694,LAX+ASDEX_20220601_165018_34694,06/01/2022,16:40:04,1654041600.0,1654101604.0,1654102218.0,60004.0,60618.0,614.0,46842,UAL2617,A320,J,L,1707,A,UAL,AC,,,,LAX,LAX,24R,60159.0,60179.0,LAX,F/,34694_UAL2617
157,34695,LAX+ASDEX_20220601_165248_34695,06/01/2022,16:41:38,1654041600.0,1654101698.0,1654102368.0,60098.0,60768.0,670.0,46843,SKW6245,E75L,J,L,1563,A,SKW,AC,,,,LAX,LAX,24R,60257.0,60265.0,MODE_SADSB,G/,34695_SKW6245
158,34696,LAX+ASDEX_20220601_165332_34696,06/01/2022,16:43:21,1654041600.0,1654101801.0,1654102412.0,60201.0,60812.0,611.0,46844,QXE2304,E75L,J,L,6645,A,QXE,AC,,,,LAX,LAX,24R,60362.0,60372.0,LAX,G/,34696_QXE2304
159,34703,LAX+ASDEX_20220601_165616_34703,06/01/2022,16:47:28,1654041600.0,1654102048.0,1654102576.0,60448.0,60976.0,528.0,46853,SKW6261,E75L,J,L,3407,A,SKW,AC,,,,LAX,LAX,25L,60586.0,60594.0,LAX,G/,34703_SKW6261
160,34705,LAX+ASDEX_20220601_165945_34705,06/01/2022,16:49:01,1654041600.0,1654102141.0,1654102785.0,60541.0,61185.0,644.0,46855,NKS653,A320,J,L,7466,A,NKS,AC,,,,LAX,LAX,24R,60695.0,60716.0,LAX,F/,34705_NKS653
161,34708,LAX+ASDEX_20220601_165759_34708,06/01/2022,16:50:22,1654041600.0,1654102222.0,1654102679.0,60622.0,61079.0,457.0,46858,AAL1393,B738,J,L,2605,A,AAL,AC,,,,LAX,LAX,25L,60748.0,60765.0,LAX,F/,34708_AAL1393
162,34710,LAX+ASDEX_20220601_165734_34710,06/01/2022,16:52:29,1654041600.0,1654102349.0,1654102654.0,60749.0,61054.0,305.0,46860,JBU287,A321,J,L,642,A,JBU,AC,,,,LAX,LAX,25R,60878.0,60912.0,LAX,F/,34710_JBU287
163,34716,LAX+ASDEX_20220601_170346_34716,06/01/2022,16:56:37,1654041600.0,1654102597.0,1654103026.0,60997.0,61426.0,429.0,46868,FDX2750,MD11,J,H,663,A,FDX,AC,,,,LAX,LAX,25L,61126.0,61147.0,SMR,C/,34716_FDX2750
164,34735,LAX+ASDEX_20220601_170658_34735,06/01/2022,16:54:40,1654041600.0,1654102480.0,1654103218.0,60880.0,61618.0,738.0,46888,SKW3519,E75L,J,L,4656,A,SKW,AC,,,,LAX,LAX,25L,61020.0,61026.0,LAX,G/,34735_SKW3519
165,34738,LAX+ASDEX_20220601_170512_34738,06/01/2022,16:56:08,1654041600.0,1654102568.0,1654103112.0,60968.0,61512.0,544.0,46891,DAL681,B738,J,L,1632,A,DAL,AC,,,,LAX,LAX,24R,61116.0,61136.0,LAX,F/,34738_DAL681
166,34739,LAX+ASDEX_20220601_170758_34739,06/01/2022,16:57:44,1654041600.0,1654102664.0,1654103278.0,61064.0,61678.0,614.0,46892,SKW3339,E75L,J,L,4661,A,SKW,AC,,,,LAX,LAX,24R,61227.0,61235.0,SMR,G/,34739_SKW3339
167,34749,LAX+ASDEX_20220601_171057_34749,06/01/2022,16:59:08,1654041600.0,1654102748.0,1654103457.0,61148.0,61857.0,709.0,46904,SWA1383,B38M,J,L,1731,A,SWA,AC,,,,LAX,LAX,24R,61299.0,61320.0,SMRADSB,F/,34749_SWA1383
168,34750,LAX+ASDEX_20220601_171030_34750,06/01/2022,16:59:33,1654041600.0,1654102773.0,1654103430.0,61173.0,61830.0,657.0,46905,SKW3781,E75L,J,L,1651,A,SKW,AC,,,,LAX,LAX,25L,61305.0,61313.0,LAX,G/,34750_SKW3781
169,34753,LAX+ASDEX_20220601_171242_34753,06/01/2022,17:02:37,1654041600.0,1654102957.0,1654103562.0,61357.0,61962.0,605.0,46908,JBU123,A21N,J,L,1720,A,JBU,AC,,,,LAX,LAX,25L,61496.0,61522.0,LAX,F/,34753_JBU123
170,34754,LAX+ASDEX_20220601_171025_34754,06/01/2022,17:02:40,1654041600.0,1654102960.0,1654103425.0,61360.0,61825.0,465.0,46909,SWA424,B737,J,L,3245,A,SWA,AC,,,,LAX,LAX,24R,61511.0,61523.0,LAX,F/,34754_SWA424
171,34755,LAX+ASDEX_20220601_171318_34755,06/01/2022,17:04:06,1654041600.0,1654103046.0,1654103598.0,61446.0,61998.0,552.0,46910,VOI662,A320,J,L,3234,A,VOI,AC,,,,LAX,LAX,25L,61586.0,61612.0,ADSB,F/,34755_VOI662
172,34768,LAX+ASDEX_20220601_171922_34768,06/01/2022,17:07:47,1654041600.0,1654103267.0,1654103962.0,61667.0,62362.0,695.0,46923,SKW6247,E75L,J,L,3243,A,SKW,AC,,,,LAX,LAX,24R,61837.0,61846.0,LAX,G/,34768_SKW6247
173,34769,LAX+ASDEX_20220601_171552_34769,06/01/2022,17:07:51,1654041600.0,1654103271.0,1654103752.0,61671.0,62152.0,481.0,46924,UAL1653,B739,J,L,6154,A,UAL,AC,,,,LAX,LAX,25L,61794.0,61800.0,LAX,F/,34769_UAL1653
174,34770,LAX+ASDEX_20220601_171743_34770,06/01/2022,17:09:50,1654041600.0,1654103390.0,1654103863.0,61790.0,62263.0,473.0,46925,UAL2434,B772,J,H,3067,A,UAL,AC,,,,LAX,LAX,25L,61925.0,61933.0,LAX,B/,34770_UAL2434
175,34779,LAX+ASDEX_20220601_172140_34779,06/01/2022,17:04:38,1654041600.0,1654103078.0,1654104100.0,61478.0,62500.0,1022.0,46937,UAL33,B789,J,H,1416,A,UAL,AC,,,,LAX,LAX,24R,61617.0,61638.0,LAX,B/,34779_UAL33
176,34782,LAX+ASDEX_20220601_172308_34782,06/01/2022,17:11:17,1654041600.0,1654103477.0,1654104188.0,61877.0,62588.0,711.0,46940,DAL345,A321,J,L,511,A,DAL,AC,,,,LAX,LAX,24R,62022.0,62045.0,LAX,F/,34782_DAL345
177,34784,LAX+ASDEX_20220601_172009_34784,06/01/2022,17:12:51,1654041600.0,1654103571.0,1654104009.0,61971.0,62409.0,438.0,46942,ACA787,B789,J,H,3713,A,ACA,AC,,,,LAX,LAX,25L,62106.0,62129.0,LAX,B/,34784_ACA787
178,34787,LAX+ASDEX_20220601_172009_34787,06/01/2022,17:15:23,1654041600.0,1654103723.0,1654104009.0,62123.0,62409.0,286.0,46945,N316K,CL35,J,S,4722,A,GA.N,GA,,,,LAX,LAX,25L,62268.0,62286.0,MODE_SADSB,H/,34787_N316K
179,34788,LAX+ASDEX_20220601_172426_34788,06/01/2022,17:16:53,1654041600.0,1654103813.0,1654104266.0,62213.0,62666.0,453.0,46946,JBU2986,A321,J,L,6727,A,JBU,AC,,,,LAX,LAX,25L,62348.0,62355.0,LAX,F/,34788_JBU2986
180,34798,LAX+ASDEX_20220601_172542_34798,06/01/2022,17:13:07,1654041600.0,1654103587.0,1654104342.0,61987.0,62742.0,755.0,46959,KAL9007,B77W,J,H,1417,A,KAL,AC,,,,LAX,LAX,24R,62133.0,62156.0,LAX,B/,34798_KAL9007
181,34800,LAX+ASDEX_20220601_172505_34800,06/01/2022,17:14:53,1654041600.0,1654103693.0,1654104305.0,62093.0,62705.0,612.0,46961,SKW3774,E75L,J,L,1664,A,SKW,AC,,,,LAX,LAX,24R,62263.0,62291.0,LAX,G/,34800_SKW3774
182,34803,LAX+ASDEX_20220601_172651_34803,06/01/2022,17:18:47,1654041600.0,1654103927.0,1654104411.0,62327.0,62811.0,484.0,46964,AAL1287,A319,J,L,4772,A,AAL,AC,,,,LAX,LAX,25L,62459.0,62479.0,LAX,F/,34803_AAL1287
183,34804,LAX+ASDEX_20220601_172813_34804,06/01/2022,17:20:42,1654041600.0,1654104042.0,1654104493.0,62442.0,62893.0,451.0,46965,NKS561,A320,J,L,4660,A,NKS,AC,,,,LAX,LAX,25L,62580.0,62604.0,LAX,F/,34804_NKS561
184,34810,LAX+ASDEX_20220601_173434_34810,06/01/2022,16:46:59,1654041600.0,1654102019.0,1654104874.0,60419.0,63274.0,2855.0,46973,ASA433,B739,J,L,1573,A,ASA,AC,,,,LAX,LAX,24R,60576.0,60596.0,LAX,F/,34810_ASA433
185,34812,LAX+ASDEX_20220601_173130_34812,06/01/2022,17:23:13,1654041600.0,1654104193.0,1654104690.0,62593.0,63090.0,497.0,46975,SWA2803,B738,J,L,4655,A,SWA,AC,,,,LAX,LAX,24R,62738.0,62757.0,LAX,F/,34812_SWA2803
186,34821,LAX+ASDEX_20220601_173935_34821,06/01/2022,17:21:19,1654041600.0,1654104079.0,1654105175.0,62479.0,63575.0,1096.0,46984,DAL1006,B739,J,L,6040,A,DAL,AC,,,,LAX,LAX,24R,62618.0,62641.0,SMR,F/,34821_DAL1006
187,34824,LAX+ASDEX_20220601_173948_34824,06/01/2022,17:28:06,1654041600.0,1654104486.0,1654105188.0,62886.0,63588.0,702.0,46987,SKW6290,E75L,J,L,1776,A,SKW,AC,,,,LAX,LAX,24R,63047.0,63054.0,LAX,G/,34824_SKW6290
188,34825,LAX+ASDEX_20220601_173836_34825,06/01/2022,17:28:58,1654041600.0,1654104538.0,1654105116.0,62938.0,63516.0,578.0,46988,UAL667,B788,J,H,5620,A,UAL,AC,,,,LAX,LAX,25L,63071.0,63094.0,SMR,B/,34825_UAL667
189,34836,LAX+ASDEX_20220601_174035_34836,06/01/2022,17:32:03,1654041600.0,1654104723.0,1654105235.0,63123.0,63635.0,512.0,46999,JBU701,A321,J,L,7255,A,JBU,AC,,,,LAX,LAX,25L,63256.0,63280.0,SMRMODE_SADSB,F/,34836_JBU701
190,34838,LAX+ASDEX_20220601_174039_34838,06/01/2022,17:33:48,1654041600.0,1654104828.0,1654105239.0,63228.0,63639.0,411.0,47001,AAL1085,A21N,J,L,2365,A,AAL,AC,,,,LAX,LAX,25L,63366.0,63392.0,LAX,F/,34838_AAL1085
191,34841,LAX+ASDEX_20220601_174437_34841,06/01/2022,17:37:35,1654041600.0,1654105055.0,1654105477.0,63455.0,63877.0,422.0,47004,AAL1,A321,J,L,1665,A,AAL,AC,,,,LAX,LAX,25L,63594.0,63619.0,LAX,F/,34841_AAL1
192,34851,LAX+ASDEX_20220601_174705_34851,06/01/2022,17:33:22,1654041600.0,1654104802.0,1654105625.0,63202.0,64025.0,823.0,47014,JAL16,B77W,J,H,1427,A,JAL,AC,,,,LAX,LAX,24R,63346.0,63375.0,LAX,B/,34851_JAL16
193,34861,LAX+ASDEX_20220601_175040_34861,06/01/2022,17:18:40,1654041600.0,1654103920.0,1654105840.0,62320.0,64240.0,1920.0,47024,SKW3355,E75L,J,L,3656,A,SKW,AC,,,,LAX,LAX,24R,62483.0,62490.0,LAX,G/,34861_SKW3355
194,34864,LAX+ASDEX_20220601_175049_34864,06/01/2022,17:32:39,1654041600.0,1654104759.0,1654105849.0,63159.0,64249.0,1090.0,47027,CKK221,B77L,J,H,1432,A,CKK,AC,,,,LAX,LAX,25L,63772.0,63782.0,SMR,B/,34864_CKK221
195,34865,LAX+ASDEX_20220601_175149_34865,06/01/2022,17:36:10,1654041600.0,1654104970.0,1654105909.0,63370.0,64309.0,939.0,47028,ANA6,B77W,J,H,1431,A,ANA,AC,,,,LAX,LAX,24R,63516.0,63543.0,LAX,B/,34865_ANA6
196,34867,LAX+ASDEX_20220601_175128_34867,06/01/2022,17:39:34,1654041600.0,1654105174.0,1654105888.0,63574.0,64288.0,714.0,47030,JBU67,A320,J,L,3444,A,JBU,AC,,,,LAX,LAX,24R,63728.0,63748.0,LAX,F/,34867_JBU67
197,34868,LAX+ASDEX_20220601_175135_34868,06/01/2022,17:41:32,1654041600.0,1654105292.0,1654105895.0,63692.0,64295.0,603.0,47031,DAL2528,A321,J,L,7417,A,DAL,AC,,,,LAX,LAX,24R,63831.0,63856.0,SMRADSB,F/,34868_DAL2528
198,34878,LAX+ASDEX_20220601_175607_34878,06/01/2022,17:48:33,1654041600.0,1654105713.0,1654106167.0,64113.0,64567.0,454.0,47053,THT8,B789,J,H,2617,A,THT,AC,,,,LAX,LAX,25L,64242.0,64267.0,LAX,B/,34878_THT8
199,34879,LAX+ASDEX_20220601_175923_34879,06/01/2022,17:48:44,1654041600.0,1654105724.0,1654106363.0,64124.0,64763.0,639.0,47054,WJA1696,B738,J,L,2455,A,WJA,AC,,,,LAX,LAX,24R,64275.0,64296.0,SMR,F/,34879_WJA1696
200,34886,LAX+ASDEX_20220601_180522_34886,06/01/2022,17:29:53,1654041600.0,1654104593.0,1654106722.0,62993.0,65122.0,2129.0,47062,SKW3445,E75L,J,L,6363,A,SKW,AC,,,,LAX,LAX,24R,63146.0,63152.0,SMR,G/,34886_SKW3445
201,34887,LAX+ASDEX_20220601_180418_34887,06/01/2022,17:38:46,1654041600.0,1654105126.0,1654106658.0,63526.0,65058.0,1532.0,47063,CSN441,B77L,J,H,1437,A,CSN,AC,,,,LAX,LAX,25L,64141.0,64149.0,MODE_S,B/,34887_CSN441
202,34888,LAX+ASDEX_20220601_180923_34888,06/01/2022,17:43:19,1654041600.0,1654105399.0,1654106963.0,63799.0,65363.0,1564.0,47064,AAR202,A359,J,H,6774,A,AAR,AC,,,,LAX,LAX,24R,63962.0,63983.0,LAX,B/,34888_AAR202
203,34891,LAX+ASDEX_20220601_180913_34891,06/01/2022,17:47:36,1654041600.0,1654105656.0,1654106953.0,64056.0,65353.0,1297.0,47067,UAL1789,B739,J,L,1150,A,UAL,AC,,,,LAX,LAX,24R,64200.0,64215.0,LAX,F/,34891_UAL1789
204,34895,LAX+ASDEX_20220601_180235_34895,06/01/2022,17:50:43,1654041600.0,1654105843.0,1654106555.0,64243.0,64955.0,712.0,47071,UAL283,B738,J,L,5755,A,UAL,AC,,,,LAX,LAX,25L,64373.0,64390.0,LAX,F/,34895_UAL283
205,34896,LAX+ASDEX_20220601_180315_34896,06/01/2022,17:52:20,1654041600.0,1654105940.0,1654106595.0,64340.0,64995.0,655.0,47072,UAL251,B738,J,L,2202,A,UAL,AC,,,,LAX,LAX,25L,64462.0,64469.0,LAX,F/,34896_UAL251
206,34900,LAX+ASDEX_20220601_180919_34900,06/01/2022,17:55:56,1654041600.0,1654106156.0,1654106959.0,64556.0,65359.0,803.0,47076,SWA558,B738,J,L,610,A,SWA,AC,,,,LAX,LAX,25L,64685.0,-9999999.0,SMRADSB,F/,34900_SWA558
207,34905,LAX+ASDEX_20220601_180717_34905,06/01/2022,17:59:26,1654041600.0,1654106366.0,1654106837.0,64766.0,65237.0,471.0,47081,ACA775,B38M,J,L,601,A,ACA,AC,,,,LAX,LAX,25L,64895.0,64909.0,SMRADSB,F/,34905_ACA775
208,34907,LAX+ASDEX_20220601_180844_34907,06/01/2022,18:00:57,1654041600.0,1654106457.0,1654106924.0,64857.0,65324.0,467.0,47083,SCX427,B738,J,L,7023,A,SCX,AC,,,,LAX,LAX,24R,65005.0,65023.0,LAX,F/,34907_SCX427
209,34918,LAX+ASDEX_20220601_181211_34918,06/01/2022,17:43:42,1654041600.0,1654105422.0,1654107131.0,63822.0,65531.0,1709.0,47095,AAL336,A21N,J,L,1412,A,AAL,AC,,,,LAX,LAX,25L,63957.0,63982.0,LAX,F/,34918_AAL336
210,34919,LAX+ASDEX_20220601_181408_34919,06/01/2022,17:45:37,1654041600.0,1654105537.0,1654107248.0,63937.0,65648.0,1711.0,47096,AAL582,A21N,J,L,5622,A,AAL,AC,,,,LAX,LAX,24R,64104.0,64126.0,LAX,F/,34919_AAL582
211,34920,LAX+ASDEX_20220601_181303_34920,06/01/2022,17:50:38,1654041600.0,1654105838.0,1654107183.0,64238.0,65583.0,1345.0,47097,SKW6258,E75L,J,L,6341,A,SKW,AC,,,,LAX,LAX,24R,64410.0,64416.0,LAX,G/,34920_SKW6258
